filename,total_words,english_only,danish_only,ambiguous,neither
output_MULTIPLE_DISCIPLINES_20250611_125608_1.txt,350,0,214,125,11
output_MULTIPLE_DISCIPLINES_20250611_125619_2.txt,365,1,231,122,11
output_MULTIPLE_DISCIPLINES_20250611_125629_3.txt,318,2,212,98,6
output_MULTIPLE_DISCIPLINES_20250611_125640_4.txt,411,0,263,135,13
output_MULTIPLE_DISCIPLINES_20250611_131252_1.txt,294,0,175,112,7
output_MULTIPLE_DISCIPLINES_20250611_131303_2.txt,346,2,213,119,12
output_MULTIPLE_DISCIPLINES_20250611_131313_3.txt,348,8,231,105,4
output_MULTIPLE_DISCIPLINES_20250611_131324_4.txt,408,1,271,126,10
output_MULTIPLE_DISCIPLINES_20250611_132933_1.txt,366,0,227,132,7
output_MULTIPLE_DISCIPLINES_20250611_132943_2.txt,337,1,209,122,5
output_MULTIPLE_DISCIPLINES_20250611_132953_3.txt,340,2,240,94,4
output_MULTIPLE_DISCIPLINES_20250611_133004_4.txt,412,2,250,151,9
output_MULTIPLE_DISCIPLINES_20250611_133251_1.txt,362,0,236,121,5
output_MULTIPLE_DISCIPLINES_20250611_133301_2.txt,322,1,206,110,5
output_MULTIPLE_DISCIPLINES_20250611_133312_3.txt,396,3,254,131,8
output_MULTIPLE_DISCIPLINES_20250611_133333_4.txt,428,1,260,153,14
output_MULTIPLE_DISCIPLINES_20250611_133532_1.txt,338,0,211,117,10
output_MULTIPLE_DISCIPLINES_20250611_133543_2.txt,339,3,195,131,10
output_MULTIPLE_DISCIPLINES_20250611_133553_3.txt,353,4,228,115,6
output_MULTIPLE_DISCIPLINES_20250611_133603_4.txt,394,0,236,149,9
output_MULTIPLE_DISCIPLINES_20250611_134609_1.txt,333,0,213,112,8
output_MULTIPLE_DISCIPLINES_20250611_134620_2.txt,355,1,211,135,8
output_MULTIPLE_DISCIPLINES_20250611_134630_3.txt,411,3,260,140,8
output_MULTIPLE_DISCIPLINES_20250611_134641_4.txt,377,0,241,125,11
output_MULTIPLE_DISCIPLINES_20250611_135000_1.txt,316,0,196,112,8
output_MULTIPLE_DISCIPLINES_20250611_135011_2.txt,325,1,193,118,13
output_MULTIPLE_DISCIPLINES_20250611_135021_3.txt,349,6,229,106,8
output_MULTIPLE_DISCIPLINES_20250611_135032_4.txt,393,2,239,141,11
output_MULTIPLE_DISCIPLINES_20250611_135217_1.txt,353,0,220,126,7
output_MULTIPLE_DISCIPLINES_20250611_135227_2.txt,322,0,195,119,8
output_MULTIPLE_DISCIPLINES_20250611_135237_3.txt,369,4,242,118,5
output_MULTIPLE_DISCIPLINES_20250611_135248_4.txt,420,0,263,144,13
output_MULTIPLE_DISCIPLINES_20250611_140643_1.txt,385,0,237,133,15
output_MULTIPLE_DISCIPLINES_20250611_140654_2.txt,339,2,189,138,10
output_MULTIPLE_DISCIPLINES_20250611_140703_3.txt,344,3,212,123,6
output_MULTIPLE_DISCIPLINES_20250611_140715_4.txt,364,0,232,117,15
output_MULTIPLE_DISCIPLINES_20250611_140903_1.txt,361,0,236,116,9
output_MULTIPLE_DISCIPLINES_20250611_140913_2.txt,321,1,202,108,10
output_MULTIPLE_DISCIPLINES_20250611_140923_3.txt,327,5,214,101,7
output_MULTIPLE_DISCIPLINES_20250611_140934_4.txt,350,0,228,113,9
output_MULTIPLE_DISCIPLINES_20250611_142336_1.txt,379,0,243,123,13
output_MULTIPLE_DISCIPLINES_20250611_142347_2.txt,321,2,199,109,11
output_MULTIPLE_DISCIPLINES_20250611_142357_3.txt,397,14,241,131,11
output_MULTIPLE_DISCIPLINES_20250611_142408_4.txt,370,0,238,119,13
output_MULTIPLE_DISCIPLINES_20250611_142546_1.txt,348,0,214,123,11
output_MULTIPLE_DISCIPLINES_20250611_142557_2.txt,318,0,194,117,7
output_MULTIPLE_DISCIPLINES_20250611_142607_3.txt,345,2,230,107,6
output_MULTIPLE_DISCIPLINES_20250611_142619_4.txt,443,0,274,157,12
